[seed] seed=42 deterministic=True (cudnn.deterministic, tf32 off, CUBLAS_WORKSPACE_CONFIG set)
[train-e2e] Device: cuda
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/exouser/.netrc.
wandb: Currently logged in as: muhammadumairhaider (multifacetednlp) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.28.0
wandb: Run data is saved locally in /home/exouser/RepresentationAE/GeoAE/wandb/run-20260825_203543-6m6z5i07
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run geosep_e2e_seed42
wandb: ⭐️ View project at https://wandb.ai/multifacetednlp/geosep-general-e2e
wandb: 🚀 View run at https://wandb.ai/multifacetednlp/geosep-general-e2e/runs/6m6z5i07
[train-e2e] wandb initialised
[train-e2e] Loading frozen LLM: meta-llama/Llama-3.2-3B
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3194.32it/s]
[train-e2e] target layer 27 of 28 (is_last=True); head-only (lm_head∘norm)
[train-e2e] teacher_mode=onfly — head(norm(x)) computed in-loop, no cache
[train-e2e] Train docs: 9,333,919  Val docs: 491,259
[train-e2e] Encoder=gelu latent_dim=3072 K=2000 metric=euclidean sinkhorn=on
[train-e2e] lr=0.0001 grad_clip=1 lambda_mse=0.1 (MSE anchor ON)
[train-e2e] logits sanity (onfly): head path OK, logits shape=(2048, 128256) (teacher = same path, no cache)

[train-e2e] Epoch 1/50 | tau=1.000 | λ_c=0.000 λ_s=0.0000 | λ_var=0.000 λ_cov=0.0000
  step    100 | loss 2.0885 | kl 1.9757 | val_kl 1.9412 | clus 0.4688 | sep 1.0000 | mse(diag) 1.1271 | eff_K 2000/2000 | dying 0
  step    200 | loss 1.3532 | kl 1.2514 | val_kl 1.2564 | clus 0.4664 | sep 1.0000 | mse(diag) 1.0185 | eff_K 2000/2000 | dying 0
  step    300 | loss 1.0728 | kl 0.9765 | val_kl 0.9496 | clus 0.4746 | sep 0.3679 | mse(diag) 0.9629 | eff_K 2000/2000 | dying 0
  step    400 | loss 0.8579 | kl 0.7681 | val_kl 0.7767 | clus 0.4701 | sep 1.0000 | mse(diag) 0.8973 | eff_K 2000/2000 | dying 0
  step    500 | loss 0.7384 | kl 0.6531 | val_kl 0.6632 | clus 0.4697 | sep 0.3679 | mse(diag) 0.8532 | eff_K 2000/2000 | dying 0
  step    600 | loss 0.6509 | kl 0.5692 | val_kl 0.5860 | clus 0.4773 | sep 0.3679 | mse(diag) 0.8172 | eff_K 2000/2000 | dying 0
  step    700 | loss 0.5847 | kl 0.5066 | val_kl 0.5272 | clus 0.4701 | sep 0.3679 | mse(diag) 0.7801 | eff_K 2000/2000 | dying 0
  step    800 | loss 0.5379 | kl 0.4602 | val_kl 0.4863 | clus 0.4895 | sep 0.3679 | mse(diag) 0.7770 | eff_K 2000/2000 | dying 0
  step    900 | loss 0.5075 | kl 0.4335 | val_kl 0.4486 | clus 0.4829 | sep 0.3679 | mse(diag) 0.7401 | eff_K 2000/2000 | dying 0
  step   1000 | loss 0.4748 | kl 0.4021 | val_kl 0.4171 | clus 0.4893 | sep 0.3679 | mse(diag) 0.7270 | eff_K 2000/2000 | dying 0
  step   1100 | loss 0.4432 | kl 0.3733 | val_kl 0.3952 | clus 0.4829 | sep 1.0000 | mse(diag) 0.6991 | eff_K 2000/2000 | dying 0
  step   1200 | loss 0.4542 | kl 0.3860 | val_kl 0.3735 | clus 0.4947 | sep 0.3679 | mse(diag) 0.6824 | eff_K 2000/2000 | dying 0
  step   1300 | loss 0.4087 | kl 0.3419 | val_kl 0.3550 | clus 0.4947 | sep 0.3679 | mse(diag) 0.6689 | eff_K 2000/2000 | dying 0
  step   1400 | loss 0.3893 | kl 0.3230 | val_kl 0.3366 | clus 0.5073 | sep 1.0000 | mse(diag) 0.6629 | eff_K 2000/2000 | dying 0
  step   1500 | loss 0.3672 | kl 0.3028 | val_kl 0.3197 | clus 0.5053 | sep 1.0000 | mse(diag) 0.6446 | eff_K 2000/2000 | dying 0
  step   1600 | loss 0.3594 | kl 0.2968 | val_kl 0.3142 | clus 0.5024 | sep 0.3679 | mse(diag) 0.6260 | eff_K 2000/2000 | dying 0
  step   1700 | loss 0.3410 | kl 0.2799 | val_kl 0.2942 | clus 0.5012 | sep 0.3679 | mse(diag) 0.6107 | eff_K 2000/2000 | dying 0
  step   1800 | loss 0.3430 | kl 0.2823 | val_kl 0.2861 | clus 0.5082 | sep 0.3679 | mse(diag) 0.6069 | eff_K 2000/2000 | dying 0
  step   1900 | loss 0.3383 | kl 0.2773 | val_kl 0.2770 | clus 0.5215 | sep 1.0000 | mse(diag) 0.6096 | eff_K 2000/2000 | dying 0
  step   2000 | loss 0.3132 | kl 0.2536 | val_kl 0.2670 | clus 0.5237 | sep 1.0000 | mse(diag) 0.5959 | eff_K 2000/2000 | dying 0
  step   2100 | loss 0.3020 | kl 0.2445 | val_kl 0.2598 | clus 0.5147 | sep 0.3679 | mse(diag) 0.5748 | eff_K 2000/2000 | dying 0
