rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1	206	2658	0.541	0.541	0.254	791.6816	1555.2026	code:27%	  - ) . 044 ,
2	136	2605	0.53	1.071	0.02	813.0669	1328.4135	wiki:52%	,  of  or  the  onboard  largest
3	635	2489	0.506	1.577	0.248	798.0664	1255.8159	wiki:82%	 of  to  with  by  from  as
4	1530	1865	0.379	1.956	0.594	789.3539	1483.7217	wiki:56%	 and  or  And and or /or
5	926	1764	0.359	2.315	0.008	773.2371	1267.1095	wiki:61%	 use  term  work  role  worldwide  example
6	121	1650	0.336	2.651	0.041	699.3291	1410.7826	wiki:61%	 largest -largest  official  large  major  populous
7	1609	1644	0.334	2.985	0.012	770.9236	1236.5757	wiki:53%	 Lov  Cart  Mel  Tor  Ber  Tag
8	30	1389	0.283	3.268	0.723	884.0566	1456.5635	wiki:73%	, ),  (), ", ; .,
9	788	1371	0.279	3.547	0.013	667.6537	1131.7245	wiki:94%	 America  Hemisphere  languages ans ism  world
10	1749	1297	0.264	3.81	0.017	826.2734	1291.2563	wiki:72%	 entertainment  urban  metropolitan  population  academic  online
11	571	1248	0.254	4.064	0.044	762.6118	1205.131	wiki:69%	 used  found  developed  to  known  classified
12	373	1190	0.242	4.306	0.029	875.5269	1420.2804	code:68%	 sph quick .min 2 ver bib
13	1967	1137	0.231	4.538	0.018	693.2862	1290.0822	wiki:57%	 Ach  Mil  Kor  Ish  Fres  Ag
14	1319	1123	0.228	4.766	0.014	728.8917	1284.5625	wiki:74%	 system  works  words  field  belief  language
15	968	1109	0.226	4.992	0.704	907.2495	1354.3545	wiki:89%	 the  The The 's
16	612	1102	0.224	5.216	0.123	764.4189	1322.5077	code:91%	 len  open .dirname .join format .append
17	1574	1068	0.217	5.433	0.036	805.8191	1365.7812	wiki:46%	 of ,  the  &  Project  Great
18	1576	1044	0.212	5.645	0.012	944.8037	1494.1888	wiki:38%	orm  Arch  Pol  Res  Sim  Cong
19	1795	1026	0.209	5.854	0.018	674.3228	1542.6735	web:45%	 increase ing  explores  provide  using lining
20	1479	1012	0.206	6.06	0.865	869.5751	1525.2933	web:43%	 and  or and
21	266	997	0.203	6.263	0.914	983.5176	1618.7589	web:32%	 a  A a A
22	257	995	0.202	6.465	1.0	807.2592	1312.9518	wiki:87%	.
23	1354	969	0.197	6.662	0.012	891.9502	1613.3539	wiki:40%	 vern  neut -capital  Byz Fund  consequ
24	510	960	0.195	6.858	0.339	760.0987	1545.674	wiki:43%	 of  to  with  by  for  from
25	411	956	0.194	7.052	0.017	785.3692	1339.0542	code:69%	 Interactive per  Argument  Safe  Resource Config
26	1731	954	0.194	7.246	0.024	822.8896	1599.8553	wiki:43%	 which  systems  that  symbols  applications  they
27	948	952	0.194	7.44	0.142	808.7578	1420.7885	wiki:62%	 that  it  It  which  generally  anthropology
28	1353	933	0.19	7.629	0.081	831.7864	1264.0338	math:84%	#### ###  » • \xa0  -
29	1372	912	0.186	7.815	0.045	880.439	1499.8102	code:68%	.dirname .join .insert .getLogger .abspath .Column
30	564	902	0.183	7.998	0.025	892.9131	1687.6825	web:44%	 new  best  real  main  continued  original
31	134	894	0.182	8.18	0.019	639.7188	1214.9994	wiki:62%	ism  science  astronomy  religion  production  philosophy
32	1273	889	0.181	8.361	0.027	848.562	1465.9696	wiki:48%	 Ant  sor  pel  Aph  Lev  Euras
33	1113	875	0.178	8.539	0.359	800.5235	1282.3374	wiki:77%	 of ,  by  is  in  from
34	1320	875	0.178	8.717	0.013	862.3394	1515.6473	web:37%	 change  like  use  contact  book See
35	1511	873	0.178	8.895	0.341	745.3077	1445.0938	web:46%	 of  to  about  on  from  with
36	1077	849	0.173	9.067	0.766	895.5234	1554.6927	wiki:51%	 in  In  into  within In
37	1230	849	0.173	9.24	1.0	858.0932	1448.9293	wiki:27%	 
38	974	848	0.172	9.413	0.293	784.0049	1299.5023	wiki:66%	 is  are  was  be  also  often
