rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1	1450	1710	0.348	0.348	0.053	1057.0356	1675.5416	pile:28%	 functions  devices  objects  models  spaces  files
2	1336	1631	0.332	0.68	0.016	1002.1943	1702.1769	wiki:37%	 equations ants  Operators  spaces  products  Functions
3	331	1618	0.329	1.009	1.0	711.8862	1474.2754	wiki:35%	 the
4	188	1598	0.325	1.334	0.018	902.1372	1744.6027	math:30%	 Battle  point  model  product  drag  power
5	1051	1523	0.31	1.644	0.029	1033.8429	1832.7988	wiki:31%	 Battle  dir  Book  model  file  law
6	665	1338	0.272	1.916	0.056	1216.0592	1805.7993	web:32%	 techniques  activities  events  actions  processes  components
7	1582	1283	0.261	2.177	0.01	992.7227	1762.6842	code:63%	page edge  url shape section image
8	1466	1271	0.259	2.435	0.067	987.7509	2102.1255	math:31%	 complex  finite  real  Smart  discrete  independent
9	1124	1240	0.252	2.688	0.052	1091.5829	1696.8549	math:32%	 file  matrix  signal  function  object  document
10	318	1224	0.249	2.936	0.026	947.4654	1599.8234	wiki:33%	ipel  oper  nucle b comput  morph
11	1917	1180	0.24	3.177	0.024	1087.9667	1736.2521	web:32%	 nucleus  line us  ball  atom  seed
12	1096	1178	0.24	3.416	1.0	835.1358	1444.332	pile:28%	 the
13	679	1167	0.237	3.654	0.221	586.5684	1265.667	code:87%	__(   __ . .add    
14	512	1160	0.236	3.889	0.234	472.8101	1125.7002	code:29%	 D  S  C  T  L  F
15	1202	1158	0.236	4.125	0.888	703.3741	1338.9136	math:34%	 the  The
16	1261	1138	0.231	4.357	0.185	598.8672	1276.8182	math:47%	  : , _ {  at
17	689	1098	0.223	4.58	0.035	914.5541	1667.5015	pile:29%	 cell  matrix  cavity  character  flame  ring
18	438	1094	0.223	4.802	0.119	626.958	1095.9579	wiki:49%	 The The
19	1706	1087	0.221	5.024	0.038	1204.0294	1949.0957	web:30%	 process  structure  formula  error  result  procedure
20	909	1079	0.219	5.243	0.955	730.9004	1533.8641	math:33%	 a  A
21	1742	1058	0.215	5.458	0.363	686.8281	1210.8193	math:27%	 The  the The the
22	1555	1039	0.211	5.67	0.082	826.3926	1523.6437	code:42%	  : , begin \\ _
23	1988	1038	0.211	5.881	0.082	1285.7432	1984.0414	web:31%	 properties  characteristics  results  features  mechanisms  conditions
24	260	1028	0.209	6.09	0.026	987.79	1586.0131	wiki:32%	 arr  bur  trib  ect  fib  cere
25	723	1025	0.209	6.298	0.039	1095.0039	1704.2612	math:37%	 object  equation  file  sequence  element  surface
26	1943	1024	0.208	6.507	0.01	831.7242	1565.0157	web:24%	 Sport  Rock  Saint  Sun Ice  Mont
27	195	1009	0.205	6.712	0.096	1086.1436	1681.8428	wiki:31%	 is  are
28	858	1003	0.204	6.916	0.02	489.1426	1232.4301	wiki:43%	 Sel  Sal  Lim  Cal  Mel  Sar
29	1013	1003	0.204	7.12	0.138	552.4253	1428.2534	code:31%	 Z  L  C  J  Y  X
30	781	998	0.203	7.323	0.025	1040.0034	1775.4442	wiki:54%	us  Alien ant les es ales
31	1247	993	0.202	7.525	1.0	797.0269	1547.1813	web:26%	 the
32	1597	984	0.2	7.725	0.022	1017.8583	1685.5616	wiki:30%	 recipro ym struct  reson  affili  appreh
33	1862	968	0.197	7.922	0.048	1318.2358	2294.8711	web:32%	ges  failed ed  fails ays  stretching
34	89	954	0.194	8.116	0.021	760.5082	1453.0863	wiki:43%	 Arist il  act lo  Dir PH
35	953	954	0.194	8.31	0.072	1092.0352	1829.5938	web:33%	ing  programming ging  smoothing  routing  writing
36	1077	947	0.193	8.503	0.041	768.7935	1437.8296	wiki:66%	or it op im p od
37	493	942	0.192	8.694	0.955	917.3574	1817.7682	wiki:46%	 of  de
38	1203	940	0.191	8.886	0.955	873.6035	1598.4952	math:44%	 the  The
39	426	938	0.191	9.076	0.043	1074.3375	1838.9199	math:26%	 documentation  rotation  interaction  flow  display  broadcast
40	68	937	0.191	9.267	0.024	781.3622	1470.1118	wiki:30%	 act  car  bin  Sim ser  Mat
41	940	930	0.189	9.456	0.943	841.4306	1665.077	wiki:29%	 a a  A
42	699	925	0.188	9.644	0.072	878.0161	1509.1383	pile:39%	om ab ar on os ios
43	1310	924	0.188	9.832	0.051	1150.9165	2297.5061	math:29%	u .  download  Operation  River  error
44	1418	921	0.187	10.02	0.043	1121.0312	1867.5465	wiki:37%	ity  power ness  stress  injury  function
45	1235	919	0.187	10.207	0.031	1023.6036	1699.4017	code:39%	 file  event  message  service  client  node
46	569	916	0.186	10.393	1.0	973.9854	1597.332	math:33%	 of
47	1984	909	0.185	10.578	0.051	1029.3519	1822.0419	math:44%	 charge  slope  force  mass  angle  index
48	225	903	0.184	10.761	0.077	1107.9766	1697.6802	math:57%	 functions  points  numbers  elements  coordinates  spaces
49	365	900	0.183	10.945	0.084	886.7329	1668.4154	wiki:34%	 Computer  space  Air  film  computer  Space
50	1270	897	0.182	11.127	0.797	765.0683	1188.3125	wiki:89%	. ). ".
51	1679	887	0.18	11.307	0.021	885.3262	1670.5414	code:84%	 Job .Module  Resource Marker  Application  Model
52	2	870	0.177	11.484	0.572	996.1289	1826.2461	math:38%	 is  are is  es
53	1922	866	0.176	11.661	0.039	1180.7446	1845.6005	pile:40%	 PDF  SQL S IP BC NN
54	604	859	0.175	11.835	0.038	1243.3915	2022.6963	wiki:38%	ized ated  treated  separated  defeated  sentenced
55	1954	846	0.172	12.007	0.955	734.3916	1351.1572	wiki:49%	, ),
56	964	829	0.169	12.176	0.055	874.0566	1725.7108	wiki:39%	 nuclear ic al  molecular  magnetic ial
57	716	827	0.168	12.344	0.037	1174.3843	1886.5347	code:57%	L ag password _apps .jpg px
58	1448	827	0.168	12.512	0.062	1345.3623	2201.7422	math:33%	ive  regular  closed able  independent  compact
59	420	823	0.167	12.68	0.043	1340.0028	2305.2014	web:39%	 run  document  running  connect  book  flip
60	1737	821	0.167	12.847	0.064	1052.9634	1745.5284	wiki:38%	ism  injury  cancer  theory itis ia
61	1528	820	0.167	13.014	0.776	1085.7433	1891.4552	wiki:32%	) ") ') ] __) ])
