rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1	1100	6002	1.221	1.221	0.044	616.483	2400.3855	web:41%	, .   - T  S
2	1060	4898	0.996	2.217	0.028	1434.3214	2347.8633	wiki:98%	 the  that  science  computation  computer on
3	1732	1906	0.388	2.605	0.013	723.2913	1639.1097	web:27%	 Er  Com  El om  Col un
4	485	1872	0.381	2.986	0.016	1261.1917	2636.207	web:32%	 point  set  power  key  line  object
5	1167	1616	0.329	3.314	0.08	499.5418	1239.5162	wiki:29%	 K  D  L  T  S  B
6	926	1392	0.283	3.598	0.084	650.5738	1162.7308	wiki:38%	.  David  John  George  Robert  Peter
7	375	1290	0.262	3.86	0.077	1495.886	2767.1411	wiki:45%	 political  chemical ical  religious  philosophical ological
8	876	1280	0.26	4.12	0.091	287.227	893.6163	wiki:34%	 B  L  S  R  P  G
9	1905	1265	0.257	4.378	0.02	1070.7328	2222.5366	code:53%	edge quick li .One page  shift
10	1712	1181	0.24	4.618	0.023	627.3718	1296.6576	wiki:46%	ak am h el y he
11	1796	1176	0.239	4.857	0.033	1327.5388	2347.0496	wiki:35%	ab om on yle b p
12	231	1172	0.238	5.096	0.012	1301.521	2278.6382	wiki:41%	 hym lesi ac  affili st  milit
13	226	1113	0.226	5.322	0.028	928.8588	1899.7998	wiki:45%	 Per  end  pol  cam  Com  is
14	1413	1094	0.223	5.544	0.018	2333.1848	3287.3564	web:30%	 connect  install  processing  wire  update  load
15	1011	1034	0.21	5.755	0.03	1196.0483	2220.0476	math:83%	\xa0  \xa0 \xa0  \xa0  Subject  Date ISBN
16	1814	1034	0.21	5.965	0.215	1751.3649	2864.8049	pile:28%	 with  by  of  on  to  from
17	235	1007	0.205	6.17	0.013	1940.0616	2906.7981	math:44%	2  number  side  inputs  table  interval
18	1164	971	0.198	6.367	0.109	1301.2133	2156.5825	wiki:100%	 is  It  and ,  region  Asia
19	1555	970	0.197	6.565	0.019	998.6102	1860.0575	wiki:70%	ap th h  K ni  Oct
20	298	962	0.196	6.76	0.025	541.2639	1296.103	wiki:54%	 Ch  El  Se  Or  Pat  Le
21	643	920	0.187	6.948	0.943	1604.3829	2647.7239	wiki:26%	 a  A a
22	995	879	0.179	7.126	0.029	1739.1364	2923.0171	wiki:39%	ic  aromatic ent ous ative ical
23	443	871	0.177	7.304	0.038	1938.2125	2855.1941	math:39%	 absolute  moment  arithmetic  strong  smart  astronomical
24	436	855	0.174	7.478	0.025	2073.6523	3267.0188	web:45%	 effective  compact  powerful  realistic y  generic
25	458	843	0.171	7.649	1.0	661.938	1301.5072	code:100%	from
26	305	836	0.17	7.819	0.932	1676.0835	2615.2578	pile:40%	 of  der  against  for
27	196	830	0.169	7.988	0.033	1449.8771	2149.6958	code:49%	icht  parser } 3 � hl
28	217	824	0.168	8.156	0.034	1019.1219	1970.9347	wiki:34%	 Research  Democratic  Health  Insurance  Picture  Development
29	174	806	0.164	8.319	0.039	1450.4297	2236.7017	pile:31%	 al  And  an  ch  Ae  ar
30	1817	806	0.164	8.483	0.229	540.8856	1578.5798	wiki:51%	 Al  A  Ar  An  Am  As
31	1175	798	0.162	8.646	0.021	2164.217	3319.2722	pile:27%	ized  created  treated ated  trained  joined
32	1666	792	0.161	8.807	0.919	1512.7267	2529.7493	web:39%	 the  THE
33	470	789	0.16	8.967	0.025	1219.9395	2163.4983	web:29%	 Line  Ard  Al  All  Ash  Le
34	1148	783	0.159	9.127	0.031	1766.4153	2748.4614	math:38%	 object  system  site  game  sequence  film
35	246	781	0.159	9.285	0.027	1998.2078	2956.5117	math:39%	 objects  images  events  locations  actions s
36	10	780	0.159	9.444	0.007	2170.6143	3190.5527	wiki:28%	 asteroids  objects es  candidate  elements  services
37	832	771	0.157	9.601	0.012	854.3854	1860.4806	code:30%	 PL h b M  NC  CK
38	1918	770	0.157	9.758	0.08	728.6191	1601.6194	wiki:24%	 Sh  Th  Ch  Gr  Tr  sh
39	857	767	0.156	9.914	0.028	1847.1898	2954.8486	code:42%	 command  event  text  menu map  date
40	620	753	0.153	10.067	0.02	1083.6926	1790.4183	wiki:32%	 A str m  p  T it
41	507	752	0.153	10.22	0.067	1055.6895	2375.564	math:72%	ic  linear  differential  quantum  Fourier  complex
42	720	745	0.152	10.371	0.806	1709.3344	2661.7151	math:34%	, ), $, ], .,    
43	873	729	0.148	10.52	0.955	1267.4875	2356.7803	math:31%	 that  que
44	1010	710	0.144	10.664	0.878	1583.4846	3116.2334	web:46%	 to  of  in  meng  a  TO
45	1191	710	0.144	10.808	0.022	1898.0481	3155.0764	pile:33%	 treatment  surgery  transport  debt  independence  siege
