rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1	1813	5366	1.092	1.092	0.047	933.0557	1729.5397	math:23%	 space  Space  spaces  service  Sport  sequence
2	90	4314	0.878	1.969	0.055	825.9238	1693.1656	pile:25%	 Computer  computer  Code  carbon  cell comput
3	713	3933	0.8	2.769	0.081	808.3096	1702.5112	math:22%	 film  function  functions  file  fluid  field
4	137	3350	0.681	3.451	0.065	1073.6864	1741.1649	wiki:25%	 power  products  properties  program  processes ynomials
5	565	3179	0.647	4.097	0.048	811.3115	1706.8687	pile:22%	 theory  Temple  table  Theory  therm ex
6	869	3124	0.635	4.733	0.04	862.8809	1736.6508	wiki:31%	 Algebra  algorithm  atom  arguments  array  angle
7	288	3097	0.63	5.363	0.042	1057.2308	1798.9165	wiki:30%	ism s es ing ity ometry
8	93	2951	0.6	5.963	0.063	893.5303	1794.3829	pile:22%	 event  electron edge  energy  elements  environment
9	146	2757	0.561	6.524	0.043	967.1381	1799.2578	math:24%	 range  River  record  rule  ring  racing
10	95	2392	0.487	7.01	0.056	951.0972	1697.8075	wiki:25%	 matrix  mathematics  music  memory  mass  Mathematics
11	1933	2349	0.478	7.488	0.047	753.3257	1706.8488	code:30%	 power page  product  particle  polar  Page
12	279	2254	0.458	7.947	0.063	972.9644	1762.7227	pile:25%	 data  domain  distribution  devices  device oc
13	318	2028	0.413	8.359	0.026	762.213	1551.1802	wiki:41%	ac ab or od el om
14	1295	2006	0.408	8.767	0.074	884.7002	1797.2119	web:24%	 Health H  House  Holy hl  Home
15	305	1954	0.397	9.165	0.114	479.8296	1742.3131	web:25%	 W  War .w  w  Wood  White
16	1439	1913	0.389	9.554	0.054	720.2563	1779.6133	web:23%	 graph  geometry  game  Golden  God  Gamma
17	112	1902	0.387	9.941	0.034	785.3247	1685.6221	code:28%	 Research  River  Rock  ring  resource  radio
18	1971	1898	0.386	10.327	0.164	641.5333	1354.4272	code:41%	  , __( : __ .add
19	275	1890	0.384	10.711	0.125	875.0205	1847.0391	math:27%	 number  numbers  nucleus  National  node  natural
20	340	1848	0.376	11.087	0.156	607.2051	1634.0781	code:37%	 data  Data  db .data Data  Diff
21	245	1820	0.37	11.457	0.075	846.7158	1789.7075	wiki:29%	 line  language u  land  languages  lines
22	87	1815	0.369	11.827	0.955	737.5469	1579.4536	math:30%	 a  A
23	488	1782	0.362	12.189	0.07	918.6249	1774.5983	code:23%	 object  oper  objects  order  operator  Operation
24	211	1764	0.359	12.548	0.163	596.0888	1285.1102	code:46%	__(   : _ , {
25	1815	1750	0.356	12.904	0.063	1033.5518	1792.4178	web:28%	 body  Battle  branch  business  book  Book
